seed edbe610dfd4e71aa
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.916388 0.120276 0.002766
0.933018 0.123128 0.002308
0.949642 0.114090 0.001644
0.967300 0.110868 0.001888
0.982981 0.130295 0.002954
1.001981 0.135758 0.002453
1.016396 0.110867 0.001003
1.032976 0.094938 0.001949
1.049620 0.073517 0.000853
1.066309 0.104852 0.003386
1.082969 0.125876 0.003039
1.099601 0.115040 0.001281
1.116354 0.106751 0.001701
1.132987 0.106148 0.002105
1.149609 0.112161 0.002441
1.166240 0.125635 0.002198
1.183021 0.125635 0.000000
1.199592 0.142360 0.003629
1.216400 0.139658 0.002700
1.232990 0.158193 0.003075
1.252841 0.146971 0.001697
1.266232 0.171156 0.003635
1.282947 0.178327 0.002877
1.299634 0.144068 0.001059
1.316305 0.098256 0.000546
1.332948 0.096166 0.002560
1.349540 0.109154 0.002785
1.366157 0.085926 0.001492
1.382895 0.127052 0.003835
1.399499 0.124260 0.001726
1.416219 0.121975 0.001806
1.433145 0.119688 0.002096
1.450126 0.127907 0.002408
1.466699 0.119913 0.001617
1.483406 0.112162 0.001578
1.500139 0.123075 0.002806
1.516444 0.122139 0.001951
1.533029 0.148971 0.003395
1.550087 0.189170 0.004106
1.566714 0.168817 0.001315
1.583161 0.111102 0.000368
1.600006 0.104475 0.002085
1.616566 0.115148 0.002784
1.633048 0.129282 0.002762
1.649893 0.144845 0.003017
1.666422 0.143614 0.002093
1.683266 0.117896 0.001136
1.699868 0.099730 0.001570
1.716640 0.119795 0.003078
1.733947 0.115724 0.001746
1.750044 0.131057 0.002777
1.766327 0.132505 0.002359
1.783292 0.126360 0.001880
