seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.265092 0.115179 0.001278
4.281697 0.136688 0.003091
4.298492 0.147356 0.002568
4.314982 0.096385 0.000594
4.331578 0.101322 0.002375
4.348284 0.111333 0.002805
4.365163 0.111927 0.001958
4.381504 0.122915 0.002514
4.398537 0.172587 0.004564
4.414930 0.118752 0.000823
4.431778 0.111852 0.001898
4.448252 0.152881 0.004251
4.465169 0.129363 0.000982
4.481515 0.135198 0.002451
4.498571 0.124444 0.001546
4.514899 0.140396 0.003748
4.531784 0.099256 0.000660
4.548256 0.096958 0.002131
4.564957 0.095499 0.001989
4.581625 0.099247 0.002054
4.598332 0.104962 0.002420
4.614884 0.113143 0.002253
4.631550 0.133114 0.002789
4.648117 0.079162 0.001116
4.664947 0.101057 0.003228
4.681489 0.143296 0.003974
4.698235 0.115456 0.000781
4.715073 0.135962 0.003035
4.732211 0.180908 0.004067
4.748209 0.127568 0.001516
4.764759 0.146586 0.004067
4.781511 0.135520 0.001799
4.798218 0.118560 0.001410
4.814752 0.105639 0.001536
4.831673 0.117214 0.002813
4.848104 0.128959 0.002926
4.864760 0.112078 0.001381
4.881466 0.134073 0.003250
4.898083 0.134115 0.002087
4.914710 0.105876 0.000603
4.931481 0.096332 0.001752
4.951379 0.119920 0.003178
4.964981 0.133273 0.002556
4.981301 0.124143 0.001585
4.998106 0.131715 0.002373
5.014735 0.124984 0.001766
Speed: 20
0.016638 0.007170 0.000314
0.033396 0.004443 0.000250
0.050080 0.008627 0.000428
0.066582 0.006475 0.000433
0.083387 0.004394 0.000498
0.099984 0.014484 0.000972
0.116664 0.038557 0.001496
0.133362 0.114414 0.003568
0.149993 0.198984 0.004882
0.166626 0.227263 0.002483
0.184126 0.281508 0.004718
0.199915 0.335301 0.005357
0.219579 0.336782 0.003518
0.233105 0.358088 0.005192
0.252420 0.376692 0.005725
0.266520 0.336821 0.003053
0.283162 0.374114 0.007398
0.299940 0.339333 0.003703
0.316537 0.337807 0.005674
0.333153 0.333586 0.005488
0.349890 0.312092 0.004624
