seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.382591 0.120164 0.002082
2.399146 0.118349 0.002149
2.415860 0.140061 0.003907
2.432575 0.137371 0.001522
2.449244 0.132481 0.001680
2.465766 0.131945 0.002273
2.482519 0.131169 0.002144
2.499124 0.133548 0.002459
2.515868 0.134447 0.002252
2.532573 0.162588 0.004381
2.549208 0.142378 0.000191
2.565733 0.137681 0.002207
2.582410 0.125850 0.001622
2.599220 0.121159 0.002292
2.615825 0.106001 0.001242
2.632434 0.129371 0.004140
2.649225 0.130953 0.001908
2.665749 0.133692 0.002087
2.682378 0.137453 0.002319
2.699236 0.149920 0.003694
2.716188 0.147960 0.001883
2.732851 0.151728 0.002535
2.749484 0.135487 0.001060
2.765803 0.125249 0.002069
2.782401 0.128585 0.002901
2.799008 0.122631 0.001889
2.815781 0.119039 0.002080
2.832390 0.129979 0.003030
2.849089 0.128876 0.001892
2.865771 0.129981 0.002247
2.882403 0.137867 0.002697
2.899128 0.124226 0.001095
2.916638 0.127747 0.002726
2.932446 0.129014 0.002427
2.949581 0.134283 0.002549
2.965867 0.136708 0.002218
2.982971 0.129981 0.001587
2.999089 0.128548 0.002356
3.016191 0.115984 0.001339
3.032528 0.119622 0.002677
3.049586 0.123969 0.002605
3.065748 0.109528 0.000871
3.082931 0.097169 0.001307
3.099048 0.103694 0.002830
3.116119 0.109772 0.002303
3.132420 0.111046 0.001883
3.149550 0.109867 0.001649
3.165578 0.109103 0.001928
3.182849 0.116182 0.002863
3.199217 0.119222 0.001917
3.215560 0.138637 0.003259
3.232296 0.147703 0.002233
3.249009 0.140754 0.001244
3.265629 0.157465 0.003761
3.282222 0.144129 0.000943
3.298968 0.127241 0.001434
3.315637 0.130305 0.003097
