seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.665643 0.077559 0.003182
3.699024 0.119621 0.003972
3.732415 0.076866 0.001845
3.765598 0.079776 0.003347
3.798992 0.123663 0.004060
3.832338 0.138465 0.003899
3.865537 0.076019 0.002219
3.898953 0.039458 0.002445
3.932294 0.082774 0.003124
3.965544 0.096530 0.002678
3.998900 0.142383 0.004364
4.032281 0.097939 0.002602
4.065537 0.054834 0.002478
4.098919 0.118996 0.004713
4.132207 0.165868 0.004375
4.165488 0.115019 0.003050
4.198867 0.060763 0.002247
4.232247 0.053833 0.002565
4.265576 0.129970 0.004274
4.298863 0.163627 0.003685
4.332244 0.064830 0.001820
4.365559 0.059516 0.003083
4.398797 0.127579 0.004537
4.432234 0.139396 0.003275
4.465618 0.108847 0.003440
4.498805 0.073621 0.002950
4.532603 0.104889 0.004154
4.565656 0.108655 0.003245
4.598896 0.144361 0.004821
4.632242 0.100979 0.002583
4.665641 0.093709 0.004005
4.698743 0.099470 0.003176
4.732088 0.080079 0.002558
4.765472 0.073725 0.002695
4.799071 0.108175 0.003754
4.832158 0.092645 0.002451
4.865447 0.058520 0.002221
4.898684 0.065415 0.002738
4.932012 0.090125 0.002928
4.965474 0.108712 0.003185
4.998836 0.108374 0.003278
5.032020 0.105268 0.003631

Speed: 20
0.033282 0.027547 0.000755
0.066654 0.078741 0.001065
0.099910 0.002621 0.000934
0.133234 0.041859 0.000452
0.166606 0.102839 0.003485
0.199858 0.232546 0.006014
0.233236 0.240248 0.005843
0.266585 0.227396 0.007455
0.299916 0.306413 0.010428
0.333258 0.236386 0.006570
0.366631 0.145414 0.006006
0.400008 0.234776 0.009352
0.433274 0.332005 0.009532
0.466649 0.275851 0.007556
0.500031 0.254054 0.009433
0.533662 0.200684 0.006880
0.567873 0.183726 0.007317
0.599956 0.293151 0.009516
0.633242 0.334012 0.009161
0.666557 0.273328 0.008491
0.700276 0.206201 0.007865
0.733462 0.207110 0.007996
0.766728 0.313335 0.010382
0.799871 0.265475 0.007044
0.833147 0.199904 0.007453
0.866515 0.228541 0.008677
0.899918 0.216246 0.006825
0.933095 0.286140 0.009591
0.966696 0.297417 0.008805
0.999848 0.256977 0.008332
1.033241 0.273194 0.009798
1.066667 0.220384 0.007134
1.100110 0.187656 0.007193
1.133371 0.269185 0.009469
1.166473 0.304843 0.008746
1.199752 0.273604 0.008512
1.233168 0.263079 0.009270
1.266512 0.197640 0.006714
1.300154 0.269373 0.010201
1.333469 0.313387 0.009184
1.366744 0.324998 0.010082
1.399864 0.276178 0.008955
1.433182 0.236235 0.008653
1.466382 0.281832 0.010021
1.499883 0.283735 0.008679
1.533148 0.232019 0.007715
1.566525 0.234581 0.008674
1.599959 0.270650 0.009016
1.633253 0.265647 0.008278
1.666358 0.253319 0.008463
1.699749 0.239965 0.008212
1.734424 0.220276 0.007846
1.766574 0.255862 0.008509
1.799582 0.304270 0.009488
1.832929 0.295423 0.009048
1.866280 0.268483 0.009077
1.899510 0.222565 0.007849
1.932925 0.206054 0.007661
1.966247 0.326777 0.011158
1.999469 0.275420 0.007153
2.032858 0.250926 0.009238
2.066198 0.254569 0.008893
2.099474 0.218944 0.007229
2.132931 0.262186 0.009365
2.166264 0.281773 0.008676
2.199441 0.261913 0.008360
2.232825 0.245699 0.008550
2.266171 0.230889 0.007956
2.299398 0.265442 0.009062
2.332782 0.287274 0.009009
2.366158 0.252816 0.008098
2.399423 0.237880 0.008505
2.432740 0.253279 0.008693
2.466105 0.260141 0.008418
2.499476 0.247416 0.008145
2.532690 0.257159 0.008751
2.566065 0.265659 0.008706
2.599432 0.253711 0.008380
2.632691 0.206691 0.007140
2.666343 0.262912 0.009644
2.699619 0.264865 0.007881
2.732854 0.223165 0.007357
2.766062 0.218419 0.007973
2.799357 0.247715 0.008311
2.832642 0.275719 0.008695
2.865984 0.261112 0.008209
2.899408 0.218699 0.007605
2.932677 0.270254 0.009529
2.966038 0.283823 0.008714
2.999336 0.269307 0.008601
3.032635 0.264656 0.009088
3.066042 0.228495 0.007629
3.099421 0.263549 0.009362
3.132711 0.289361 0.009096
3.166002 0.268699 0.008369
3.199364 0.250262 0.008696
3.232671 0.238294 0.008222
3.265969 0.235351 0.007972
3.299359 0.299889 0.010077
3.332672 0.223408 0.006379
3.365963 0.270187 0.010275
3.399308 0.285350 0.008725
3.432675 0.244329 0.007901
3.465911 0.258501 0.009225
3.499292 0.265505 0.008650
3.532613 0.241359 0.007881
3.566056 0.275681 0.009608
3.599244 0.311247 0.009766
3.632575 0.261107 0.008142
3.665845 0.251966 0.009201
3.699258 0.202369 0.006914
3.733538 0.262803 0.009894
3.765837 0.262951 0.007603
3.800295 0.276844 0.009528
3.832566 0.250890 0.007888
3.865871 0.217111 0.007688
3.899045 0.264079 0.009214
3.932485 0.285741 0.008782
3.965910 0.244692 0.007803
3.999070 0.252150 0.009027
4.032758 0.204610 0.006720
4.066127 0.310629 0.011223
4.099410 0.273582 0.007288
4.132724 0.286970 0.010161
4.166076 0.243157 0.007936
4.199345 0.173729 0.006508
4.232716 0.214852 0.008318
4.266218 0.280619 0.008679
4.299411 0.325722 0.009737
4.332706 0.225504 0.006725
4.365756 0.225742 0.009136
4.398954 0.240624 0.007969
4.432402 0.214683 0.006933
4.465694 0.242234 0.008457
4.498934 0.268201 0.008599
4.532250 0.267991 0.008246
4.565773 0.260360 0.008819
4.599149 0.253078 0.008486
4.632401 0.249424 0.008328
4.665733 0.200555 0.006819
4.698995 0.294039 0.010365
4.732637 0.279112 0.007945
4.766058 0.282017 0.009456
4.799264 0.298901 0.009822
4.832613 0.213630 0.006842
4.866053 0.373405 0.013469
4.899364 0.180748 0.008403
4.932547 0.532398 0.017411
4.965946 0.259753 0.002768
4.999295 0.107636 0.006243
5.032529 0.392321 0.015358

Speed: 30
0.033702 0.030888 0.000428
0.066715 0.024529 0.000298
0.099963 0.015024 0.000342
0.133372 0.030694 0.000560
0.166719 0.044674 0.001571
0.199970 0.352431 0.011092
0.233326 0.473713 0.010620
0.267009 0.402130 0.011486
0.299959 0.302533 0.011108
0.333578 0.305870 0.011956
0.370434 0.338587 0.012417
0.400035 0.450362 0.012933
0.433262 0.471091 0.013517
0.466696 0.428393 0.014014
0.500002 0.401611 0.013967
0.533372 0.370521 0.012743
0.566698 0.383724 0.013310
0.599950 0.401486 0.013100
0.633388 0.432420 0.014066
0.666794 0.424293 0.013711
0.699984 0.406450 0.013553
0.733389 0.412227 0.014041
0.766773 0.420460 0.013977
0.800079 0.419371 0.013780
0.833332 0.404394 0.013480
0.866708 0.401727 0.013634
0.900043 0.402411 0.013464
0.933403 0.394071 0.013121
0.966684 0.417141 0.014028
1.000027 0.454940 0.014745
1.033343 0.395993 0.012566
1.066603 0.382817 0.013705
1.099977 0.389436 0.013216
1.133101 0.407823 0.013401
1.166385 0.414059 0.013484
