seed 92ba159995c2e676
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.466558 0.131524 0.001861
0.483268 0.111993 0.001550
0.499913 0.097650 0.001799
0.516578 0.124367 0.004063
0.533192 0.132265 0.002090
0.549998 0.081078 0.001391
0.566535 0.076689 0.002560
0.583241 0.098393 0.003321
0.599783 0.088345 0.000696
0.616607 0.089512 0.001780
0.633157 0.123315 0.003901
0.649806 0.152390 0.002837
0.666510 0.125836 0.000566
0.683214 0.127636 0.002651
0.699627 0.135975 0.002701
0.716516 0.137018 0.002051
0.736966 0.142228 0.002466
0.750034 0.167197 0.003949
0.766623 0.136971 0.000158
0.783084 0.108781 0.001058
0.799884 0.105736 0.003433
0.816368 0.100927 0.002040
0.833236 0.093272 0.001534
0.849676 0.109034 0.002844
0.866559 0.156450 0.004329
0.883113 0.130264 0.001566
0.899870 0.117171 0.001866
0.916479 0.113520 0.002271
0.933148 0.119471 0.002541
0.950411 0.118979 0.001947
0.966358 0.165490 0.004717
0.983189 0.161001 0.001167
0.999732 0.111686 0.001191
1.016576 0.111181 0.003248
1.032966 0.122952 0.003174
1.049894 0.107280 0.001074
1.066361 0.100969 0.001811
1.083084 0.112892 0.002826
1.099825 0.109983 0.001455
1.116410 0.096871 0.001127
1.133180 0.105469 0.002535
1.149753 0.107842 0.001836
1.168002 0.108487 0.001722
1.182971 0.132343 0.003171
1.199871 0.157636 0.002978
1.216401 0.160175 0.001687
1.233063 0.132027 0.000460
1.249589 0.120517 0.002096
1.266434 0.130906 0.003296
1.283009 0.125336 0.001860
1.299616 0.114472 0.001559
1.316360 0.086638 0.001101
1.333046 0.095560 0.003000
1.349587 0.078614 0.001291
1.366243 0.097666 0.003078
1.383757 0.091813 0.001135
1.399609 0.105179 0.003208
1.416176 0.106333 0.001360
1.432965 0.110882 0.001823
1.449496 0.119084 0.002173
1.466349 0.154177 0.003790
1.482864 0.149461 0.001050
1.499539 0.151710 0.002277
1.523994 0.131938 0.001352
1.534135 0.131247 0.002269
1.549564 0.114969 0.001675
1.565983 0.134024 0.003025
1.582717 0.144454 0.002346
1.599416 0.160485 0.002849
1.616646 0.118092 0.000687
1.632675 0.089440 0.001251
1.649383 0.093284 0.002988
1.666171 0.089724 0.001741
1.682782 0.119558 0.003504
1.699485 0.132742 0.001939
1.716149 0.139196 0.001880
1.732827 0.110504 0.000898
1.749490 0.117412 0.002863
1.766370 0.125363 0.002655
1.783978 0.154675 0.003639
1.800971 0.148164 0.001192
1.816089 0.157945 0.002890
1.832780 0.150023 0.001745
1.849307 0.137297 0.001793
1.866152 0.121269 0.001791
1.882695 0.117463 0.002458
1.899363 0.120125 0.002541
1.916051 0.115310 0.001786
1.932774 0.117659 0.002355
1.949304 0.152063 0.004019
1.966172 0.117480 0.000719
1.982660 0.117440 0.002681
1.999396 0.112624 0.001953
2.016058 0.123286 0.002888
2.032752 0.136733 0.002631
2.049315 0.146030 0.002339
2.066024 0.139155 0.001542
2.082687 0.122494 0.001354
2.099349 0.111625 0.001926
2.115903 0.112962 0.002486
2.132739 0.110160 0.001888
2.149294 0.137533 0.003683
2.166002 0.099341 0.000854
2.182630 0.116618 0.003600
2.199350 0.129236 0.002485
2.215903 0.122846 0.001263
2.232682 0.126134 0.002352
2.249221 0.154356 0.003608
2.265901 0.158667 0.001930
2.282521 0.108111 0.001233
2.299343 0.100387 0.002784
2.315914 0.100128 0.002516
2.332665 0.104195 0.002309
2.349274 0.102511 0.001926
2.365853 0.147949 0.004572
2.382494 0.122779 0.000555
2.399366 0.108854 0.001527
2.415801 0.118425 0.002968
2.432566 0.133463 0.002754
2.449227 0.114582 0.000543
2.466348 0.128818 0.003128
2.482526 0.168035 0.004316
2.499045 0.121641 0.001405
2.515750 0.107612 0.002111
2.532416 0.095512 0.001828
2.549071 0.096363 0.002370
2.566016 0.085238 0.001215
2.582817 0.149872 0.005755
2.599377 0.152050 0.001352
2.615927 0.134432 0.000724
2.632759 0.116070 0.001359
2.649135 0.101411 0.001720
2.666041 0.109008 0.002872
2.682475 0.101882 0.001653
2.699629 0.144666 0.004567
2.715753 0.120625 0.000294
2.732935 0.114758 0.001916
2.749176 0.090925 0.000797
2.765932 0.084983 0.002288
2.782447 0.104840 0.002989
2.799457 0.108476 0.001601
2.815760 0.112552 0.001863
2.834987 0.128595 0.002583
2.849066 0.134456 0.001890
2.865848 0.097754 0.001064
2.882345 0.098555 0.002648
2.899199 0.103861 0.002340
2.915679 0.102758 0.001633
2.932407 0.120451 0.002793
2.949024 0.143534 0.002879
2.966158 0.145076 0.001609
2.982341 0.103282 0.000560
2.999189 0.097456 0.002553
3.015654 0.111549 0.003110
3.032541 0.084816 0.000453
3.048992 0.099652 0.003165
3.065820 0.123794 0.002857
3.082302 0.126808 0.001386
3.099001 0.130126 0.001854
3.115686 0.075544 0.001617
3.132382 0.084540 0.003800
3.148936 0.095210 0.002373
3.165743 0.105446 0.002096
3.182273 0.133338 0.003030
3.199033 0.138632 0.001921
3.215678 0.150348 0.002378
3.232340 0.133106 0.000812
3.248891 0.121445 0.001817
3.265709 0.113018 0.001993
3.282287 0.110321 0.002151
3.298946 0.116841 0.002713
3.315517 0.123704 0.002228
3.332336 0.129732 0.002186
3.348907 0.113181 0.000976
3.365575 0.126532 0.003133
3.382246 0.122993 0.001631
3.398979 0.149182 0.003750
3.415525 0.139330 0.001070
3.432306 0.124482 0.001408
3.448828 0.107133 0.001444
3.465732 0.101351 0.002159
3.482311 0.106679 0.002444
3.498769 0.105100 0.001821
3.515433 0.113696 0.002292
3.532110 0.125634 0.002372
3.548831 0.137546 0.002444
3.565443 0.121755 0.000934
3.582052 0.119468 0.002146
3.598852 0.123162 0.002393
3.615450 0.124981 0.002178
3.632058 0.116441 0.001467
3.649155 0.116123 0.002100
3.665974 0.114338 0.001884
3.682200 0.095508 0.001009
3.699010 0.102463 0.002776
3.715470 0.107757 0.001993
3.732235 0.096722 0.000977
3.748699 0.120874 0.003301
3.765541 0.140249 0.002539
3.782031 0.134992 0.001335
3.798798 0.136248 0.002162
3.815440 0.123180 0.001391
3.832142 0.106801 0.001447
3.848660 0.114944 0.003023
3.865527 0.113444 0.001893
3.882059 0.115650 0.002065
3.898765 0.098005 0.000960
3.915275 0.087616 0.001540
3.932152 0.076879 0.001455
3.948679 0.104907 0.003524
3.965406 0.122077 0.002252
3.982017 0.157330 0.003478
3.998864 0.150646 0.000884
4.015324 0.132429 0.001092
4.032160 0.121202 0.001950
4.048769 0.126719 0.002965
4.065380 0.117861 0.001621
4.082170 0.135707 0.003325
4.098734 0.137053 0.001992
4.115343 0.104190 0.000951
4.132034 0.085944 0.002327
4.148779 0.079621 0.002154
4.165344 0.073076 0.001256
4.182234 0.073128 0.002094
4.198831 0.097651 0.002982
4.215368 0.117269 0.002029
4.232002 0.127445 0.001639
4.248731 0.141494 0.002285
4.265384 0.146256 0.001969
4.282231 0.144700 0.002034
4.299729 0.122105 0.001053
4.315735 0.106347 0.001462
4.333246 0.105482 0.002860
4.348922 0.084097 0.000915
4.365727 0.090628 0.003048
4.381825 0.100882 0.002036
4.398476 0.126224 0.003427
4.415218 0.116492 0.000700
4.431924 0.115465 0.002247
4.448439 0.110974 0.001386
4.466638 0.107493 0.001813
4.481878 0.132271 0.003458
4.500955 0.132149 0.001516
4.515406 0.134399 0.002182
4.534352 0.104416 0.000519
4.548614 0.106011 0.002881
4.565234 0.103947 0.001897
4.581953 0.099903 0.001675
4.598598 0.091164 0.001324
4.615231 0.078269 0.001149
4.631942 0.090970 0.002629
4.648577 0.115763 0.002944
4.665238 0.077352 0.001335
4.681971 0.096172 0.003359
4.698564 0.095673 0.001295
4.715600 0.099631 0.001744
4.731928 0.090829 0.001086
4.750958 0.111833 0.002976
4.765177 0.144238 0.003246
4.784295 0.133404 0.001115
4.798540 0.117909 0.001145
4.815209 0.135140 0.003141
4.831771 0.125128 0.001411
4.848562 0.123223 0.002420
4.865169 0.116044 0.001849
4.881842 0.139892 0.003762
