seed dbaef12415b098dd
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.299249 0.147541 0.001735
2.315806 0.100652 0.001297
2.332443 0.126738 0.002690
2.350698 0.127411 0.002175
2.365841 0.162228 0.003095
2.382393 0.170995 0.002989
2.399104 0.125221 0.001670
2.415809 0.046650 0.000163
2.432474 0.105865 0.002644
2.451942 0.157369 0.003175
2.466043 0.176453 0.002924
2.482582 0.221383 0.003849
2.499277 0.062616 0.000838
2.515949 0.094174 0.002286
2.532643 0.116269 0.002318
2.549239 0.153889 0.002957
2.565828 0.144013 0.002139
2.582560 0.180753 0.003307
2.599294 0.137203 0.001703
2.616761 0.130353 0.002143
2.632607 0.103621 0.001602
2.648087 0.156389 0.003217
2.664824 0.120466 0.001632
2.681333 0.147302 0.002771
2.698091 0.085449 0.000899
2.714499 0.165705 0.003708
2.731374 0.094766 0.000925
2.747916 0.093091 0.001987
2.766697 0.122685 0.002674
2.783102 0.128661 0.002201
2.800029 0.128007 0.002098
2.816630 0.191877 0.003707
2.833315 0.106107 0.000726
2.853044 0.084443 0.001473
2.866700 0.098941 0.001928
2.884112 0.142771 0.003175
2.899068 0.173409 0.002880
2.915714 0.203256 0.003504
2.932269 0.148982 0.001727
2.948954 0.067642 0.000940
2.965613 0.098895 0.002198
2.982198 0.160109 0.003520
2.998804 0.193646 0.003382
3.015509 0.121897 0.001130
3.032142 0.132274 0.002417
3.048778 0.081764 0.000951
3.065593 0.123475 0.002676
3.082150 0.154320 0.002839
3.099009 0.183903 0.003226
3.116825 0.127327 0.001434
3.135358 0.172725 0.003309
3.155016 0.068468 0.000202
3.167735 0.120323 0.002454
3.182596 0.143090 0.002614
3.199205 0.095192 0.001054
3.216033 0.139006 0.002861
3.232250 0.161421 0.002748
3.251519 0.127230 0.001844
3.265798 0.127230 0.000000
3.282139 0.123199 0.003935
3.298763 0.122226 0.002216
3.315505 0.123024 0.002046
3.332394 0.144928 0.002642
3.349125 0.199755 0.003728
3.365888 0.053414 0.000837
3.382403 0.053414 0.000000
3.401011 0.069436 0.002141
3.416733 0.085989 0.003626
3.433224 0.192049 0.004243
3.450252 0.202075 0.003154
3.466527 0.150695 0.001751
3.483507 0.105720 0.001529
3.499890 0.108055 0.002044
3.516617 0.136771 0.002638
3.533139 0.146171 0.002479
3.549815 0.116247 0.001650
3.566439 0.119885 0.002101
3.583237 0.102870 0.001609
3.599770 0.087542 0.001493
3.616539 0.195135 0.004314
3.632977 0.165657 0.002190
3.648845 0.076955 0.000558
3.666383 0.096550 0.002133
3.683031 0.133734 0.002698
3.698735 0.186297 0.003526
3.715489 0.108246 0.000918
3.732029 0.106409 0.001935
3.748655 0.136712 0.002585
3.765478 0.137733 0.002276
3.782023 0.137374 0.002273
3.798697 0.120410 0.001859
3.815480 0.158569 0.002996
3.832727 0.143938 0.002238
3.848676 0.131431 0.002080
3.866447 0.150250 0.002699
3.882885 0.099839 0.001172
3.899126 0.129185 0.002676
3.915415 0.096050 0.001327
3.932394 0.109604 0.002125
3.948749 0.126859 0.002317
3.965668 0.110665 0.001693
3.982157 0.147750 0.002850
3.998970 0.146757 0.002359
4.015380 0.107069 0.001358
4.032263 0.082926 0.001279
4.048826 0.082105 0.001562
4.065606 0.141619 0.003050
4.081991 0.184822 0.003282
4.099004 0.134575 0.001742
4.115392 0.152563 0.002613
4.132172 0.116841 0.001913
4.148726 0.119103 0.002136
4.165637 0.123486 0.002166
4.181987 0.202183 0.004020
4.198990 0.076540 0.000276
4.215335 0.081011 0.001657
4.232237 0.110027 0.002340
4.248613 0.136480 0.002551
4.265548 0.141988 0.002368
4.281977 0.174509 0.003161
4.298853 0.114439 0.001234
4.315347 0.088199 0.001469
4.332017 0.109009 0.002204
4.348585 0.133610 0.002480
4.365641 0.127297 0.001980
4.381980 0.139173 0.002446
4.398819 0.104184 0.001357
4.415329 0.124183 0.002332
4.432222 0.090078 0.001372
4.448595 0.203025 0.004445
4.465394 0.149108 0.001656
4.481940 0.123099 0.001862
4.498840 0.119831 0.001995
4.515238 0.108087 0.001740
4.532164 0.116935 0.002115
4.548487 0.097054 0.001545
4.565470 0.154343 0.003136
4.582325 0.167291 0.002763
4.599076 0.072136 0.000286
4.615105 0.127899 0.002851
4.632128 0.115050 0.001785
4.648565 0.119450 0.002048
4.665237 0.145320 0.002631
4.681829 0.103324 0.001292
4.698818 0.135212 0.002612
4.715186 0.129137 0.002065
4.732034 0.154044 0.002791
4.748527 0.129945 0.001802
4.765424 0.137573 0.002708
4.781806 0.112772 0.001712
4.798756 0.130800 0.002480
4.815142 0.149289 0.002567
4.831902 0.151813 0.002617
4.848545 0.110962 0.001346
4.865208 0.110351 0.001928
4.881778 0.117960 0.002210
4.898434 0.130279 0.002513
4.916415 0.156720 0.002792
4.933221 0.121902 0.001655
4.949814 0.119398 0.002029
4.965095 0.119398 0.000000
4.982179 0.139636 0.003211
5.006149 0.111386 0.002660
Speed: 20
0.016618 0.014650 0.000400
0.033398 0.014312 0.000227
0.050015 0.021582 0.000711
0.065601 0.020654 0.000259
0.083291 0.015224 0.000544
0.103330 0.055879 0.001433
0.116611 0.101022 0.002007
0.133179 0.186388 0.003457
0.152450 0.254326 0.004159
0.166666 0.269702 0.004072
0.183207 0.316296 0.005004
0.201086 0.276977 0.003613
0.218927 0.298735 0.004897
0.233079 0.369921 0.006444
0.249999 0.297988 0.003780
0.266568 0.307826 0.005232
0.283203 0.353162 0.006078
0.300049 0.314433 0.004720
0.316595 0.381649 0.006867
0.334348 0.329413 0.004692
0.351199 0.344294 0.006047
0.367358 0.295978 0.004697
0.383159 0.347046 0.006517
0.399759 0.347046 0.000000
0.416451 0.339012 0.005858
0.433135 0.313189 0.009184
0.449644 0.372541 0.006552
0.466432 0.370482 0.005823
0.483053 0.391450 0.007277
0.499917 0.278140 0.003013
0.516688 0.278140 0.000000
0.533433 0.269382 0.005738
0.549899 0.296550 0.010784
0.566535 0.399735 0.007938
0.583264 0.324607 0.004281
0.600116 0.375314 0.007110
0.616515 0.289932 0.004027
0.633394 0.342973 0.006083
0.649893 0.315148 0.004940
0.666393 0.401335 0.007632
0.683302 0.370035 0.005520
0.699802 0.358478 0.005908
0.716551 0.352562 0.005695
0.733138 0.352562 0.000000
0.749823 0.274306 0.005869
0.766548 0.413798 0.005654
0.783263 0.445488 0.011686
0.799764 0.412168 0.006078
0.816551 0.323270 0.004419
0.836083 0.389093 0.007015
0.849775 0.303088 0.004529
0.866435 0.345321 0.005626
0.882940 0.355053 0.005940
0.899974 0.407776 0.007162
0.916442 0.423065 0.006957
0.933048 0.322472 0.004289
0.949636 0.335912 0.006507
0.966520 0.275061 0.003715
0.982989 0.338831 0.006966
0.999580 0.367463 0.006049
1.016341 0.367002 0.005998
1.033021 0.314773 0.004695
1.049606 0.323736 0.005673
1.066322 0.374584 0.006750
1.082953 0.322692 0.004796
1.099826 0.333950 0.005826
1.116473 0.398117 0.007148
1.133109 0.339881 0.005330
1.149664 0.403395 0.007953
1.166445 0.312997 0.003864
1.183015 0.312997 0.000000
1.199811 0.303439 0.010932
1.216279 0.395353 0.007435
1.233096 0.313018 0.004482
1.249678 0.443150 0.008122
1.266170 0.409781 0.006124
1.283156 0.292720 0.003683
1.300582 0.385366 0.007682
1.316470 0.268481 0.003291
1.336438 0.272799 0.006784
1.349728 0.375773 0.005830
1.366443 0.407514 0.006088
1.382760 0.407514 0.000000
1.399581 0.368900 0.007233
1.416217 0.376232 0.010034
1.432892 0.304768 0.004362
1.449661 0.367842 0.006833
1.466143 0.350482 0.005525
1.482875 0.389657 0.006829
1.499871 0.321523 0.004608
1.516305 0.296224 0.004951
1.533047 0.383363 0.007789
1.549635 0.296911 0.003874
1.566199 0.296911 0.000000
1.582922 0.293215 0.006149
1.599450 0.293215 0.000000
1.616241 0.331459 0.012207
1.632869 0.331459 0.000000
1.649516 0.301326 0.010422
1.666261 0.350534 0.011173
1.682930 0.366023 0.006104
1.699692 0.307100 0.004638
1.716409 0.344749 0.006124
1.733015 0.395594 0.007152
1.749594 0.318691 0.004382
1.766472 0.322763 0.005538
1.782793 0.322763 0.000000
1.799559 0.329058 0.006602
1.816021 0.309765 0.006498
1.833084 0.359416 0.010335
1.849493 0.392248 0.006844
1.866052 0.326378 0.004715
1.882851 0.353433 0.006706
1.899740 0.361348 0.005644
1.916088 0.331106 0.005232
1.932821 0.305905 0.005019
1.949420 0.332424 0.006372
1.966276 0.333779 0.005310
1.982900 0.331821 0.005828
1.999629 0.388948 0.006623
2.016045 0.356449 0.005432
2.032825 0.294071 0.004490
2.049509 0.341146 0.006072
2.066041 0.318909 0.005105
2.082802 0.383675 0.006915
2.099433 0.281525 0.003590
2.115969 0.338304 0.006372
2.133708 0.350969 0.006179
2.149229 0.334740 0.005144
2.166407 0.385172 0.006894
2.182685 0.336036 0.005095
2.199211 0.381887 0.006811
2.216028 0.313592 0.004506
2.232619 0.321329 0.005640
2.249145 0.389699 0.006879
2.265861 0.360274 0.005555
2.282701 0.318445 0.004993
2.299511 0.301504 0.004961
2.316070 0.374947 0.007115
2.332934 0.323602 0.004745
2.349310 0.306863 0.005341
2.366229 0.399537 0.007388
2.382719 0.330478 0.004816
2.403815 0.373006 0.006475
2.416040 0.326530 0.005462
2.433620 0.310485 0.004413
2.450225 0.370789 0.006884
2.467012 0.344099 0.005422
2.483641 0.316733 0.004996
2.500570 0.297532 0.004993
2.517140 0.309149 0.005393
2.533218 0.326441 0.005632
2.549354 0.344765 0.005986
2.567035 0.352376 0.005883
2.583694 0.341732 0.005473
2.600415 0.355946 0.006078
2.617010 0.316189 0.004861
2.633681 0.339475 0.005967
2.650250 0.356345 0.006087
2.665650 0.327589 0.005086
2.683416 0.372119 0.006648
2.700902 0.329170 0.005039
2.715826 0.327930 0.005519
2.732423 0.339907 0.005937
2.749279 0.302055 0.004925
2.765864 0.362563 0.006797
2.782555 0.360740 0.005767
2.799240 0.360740 0.000000
2.815769 0.367221 0.011887
2.832480 0.340936 0.005430
2.849076 0.315828 0.004861
2.865810 0.363931 0.006779
2.882432 0.273844 0.003871
2.899033 0.273844 0.000000
2.915860 0.297968 0.006671
2.932377 0.333621 0.010649
2.949037 0.354257 0.006153
2.965882 0.346426 0.005510
2.982741 0.373707 0.006451
2.998845 0.330041 0.005037
3.016984 0.349768 0.006086
3.036742 0.341898 0.005616
3.049093 0.369129 0.006469
3.065584 0.316242 0.004740
3.082413 0.341240 0.005969
3.099501 0.356555 0.006282
3.115720 0.366420 0.006160
3.133200 0.347181 0.005618
3.149003 0.298906 0.004507
3.166512 0.298906 0.000000
3.182396 0.291133 0.007001
3.203424 0.352146 0.011748
3.215711 0.364928 0.005428
3.232896 0.288106 0.004173
3.249064 0.354945 0.006561
3.266135 0.373563 0.006434
3.282258 0.374428 0.005984
