seed 32e1d266378ee988
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.248841 0.011425 0.000909
4.266657 0.013908 0.000390
4.282123 0.015691 0.000180
4.301103 0.009191 0.000499
4.315402 0.018017 0.000958
4.334411 0.017881 0.000135
4.348662 0.012198 0.000333
4.365466 0.009852 0.000546
4.382037 0.002658 0.000482
4.398678 0.005864 0.000612
4.415425 0.004182 0.000305
4.437290 0.014583 0.000974
4.450092 0.024510 0.000554
4.466661 0.019173 0.001096
4.482120 0.018121 0.000466
4.498719 0.014819 0.000512
4.515406 0.024365 0.001045
4.532053 0.014010 0.000833
4.550282 0.008676 0.001355
4.565316 0.003721 0.001054
4.584375 0.018555 0.001174
4.598587 0.007634 0.001466
4.617730 0.002712 0.000798
4.632016 0.013073 0.001118
4.648641 0.018490 0.000592
4.665232 0.001480 0.001471
4.681918 0.004437 0.000770
4.698635 0.005148 0.000195
4.715231 0.007496 0.000950
4.731856 0.014494 0.001268
4.748657 0.011205 0.001460
4.765201 0.004968 0.000743
4.781880 0.005990 0.000047
4.799002 0.013113 0.000565
4.815239 0.006323 0.001529
4.834380 0.005534 0.000661
4.848569 0.008373 0.000491
4.867871 0.015715 0.001025
4.881786 0.001801 0.001223
4.898528 0.013131 0.001131
4.915280 0.028570 0.001163
4.931888 0.008092 0.002062
4.948501 0.013217 0.000378
4.965258 0.005106 0.001026
4.981816 0.001225 0.000716
4.998486 0.001975 0.000161
5.015262 0.012848 0.000957
Speed: 10
0.016796 0.002936 0.001370
0.033276 0.015208 0.001352
0.050011 0.008224 0.001962
0.066705 0.010681 0.001532
0.083283 0.005687 0.001385
0.100104 0.016789 0.001894
0.116625 0.023821 0.002129
0.133243 0.023297 0.001206
0.150138 0.035158 0.001863
0.166635 0.062088 0.001966
0.183380 0.084816 0.001589
0.199860 0.107497 0.001998
0.216633 0.119647 0.001286
0.233263 0.139486 0.002333
0.249872 0.138603 0.001190
0.266601 0.146046 0.002249
0.283278 0.146288 0.001971
0.299864 0.148799 0.002337
0.316609 0.145772 0.002075
0.333226 0.139082 0.002016
0.349967 0.152364 0.003604
0.366492 0.119204 0.000923
0.383258 0.106515 0.001990
0.399844 0.095780 0.001896
0.416496 0.082058 0.001289
0.433237 0.084780 0.002381
0.449845 0.092737 0.002355
0.466488 0.109701 0.002804
0.483231 0.098192 0.000636
0.499850 0.109304 0.002773
0.516458 0.135423 0.003432
0.533195 0.133226 0.001076
0.549854 0.129416 0.001555
0.566472 0.118432 0.001161
0.583077 0.125567 0.002808
0.599892 0.118760 0.001823
0.616465 0.142006 0.004117
0.633183 0.142218 0.001668
0.649811 0.129249 0.001047
0.666431 0.118365 0.001553
0.683085 0.113369 0.002287
0.699835 0.112507 0.002483
0.716430 0.104717 0.001556
0.733039 0.134737 0.004377
0.749818 0.122493 0.000512
0.766441 0.107178 0.000937
0.783045 0.098324 0.001715
0.799659 0.106608 0.002831
0.816431 0.112482 0.002324
0.833054 0.128922 0.002934
0.849665 0.149847 0.003440
0.866405 0.134127 0.000287
0.883187 0.105099 0.000361
0.899669 0.111882 0.003318
0.916406 0.112056 0.002118
0.933021 0.111341 0.002163
0.949671 0.127844 0.003400
0.966410 0.138442 0.002466
0.983155 0.115339 0.000464
0.999634 0.106717 0.001864
1.016289 0.113671 0.002860
1.033039 0.114622 0.001983
1.049643 0.113904 0.001881
1.066261 0.106193 0.001596
1.083057 0.113760 0.002633
1.099661 0.106456 0.001222
1.116247 0.094079 0.001028
1.133276 0.085697 0.001494
1.149754 0.097954 0.002843
1.166540 0.116071 0.002834
1.183044 0.116344 0.001344
1.199663 0.160466 0.004600
1.216459 0.154661 0.000747
1.232939 0.137763 0.000705
1.249714 0.123562 0.001434
1.266293 0.110179 0.001632
1.283231 0.117460 0.003850
1.299709 0.118590 0.001810
1.316384 0.130244 0.002956
1.332957 0.125340 0.001483
1.349923 0.105438 0.000645
1.366351 0.111344 0.002504
1.383175 0.107979 0.002062
1.399577 0.129900 0.003136
1.416712 0.129409 0.001346
1.432898 0.160552 0.003746
1.449555 0.152215 0.000662
1.466310 0.143304 0.001417
1.483179 0.152003 0.003040
1.499676 0.147912 0.001962
1.516355 0.145690 0.002335
1.532915 0.142251 0.002243
1.549827 0.144022 0.002671
1.566346 0.118122 0.000479
1.583208 0.078443 0.000290
1.599539 0.083895 0.003639
1.616805 0.096416 0.002925
1.633107 0.091694 0.001475
1.649542 0.119543 0.003394
1.666399 0.132480 0.001987
1.682947 0.124203 0.001133
1.699786 0.121241 0.001685
1.716256 0.124770 0.002336
1.732877 0.155303 0.004207
1.749566 0.137752 0.000367
1.766174 0.138027 0.002248
1.783165 0.132733 0.001941
1.799522 0.118502 0.001534
1.817324 0.098216 0.001212
1.832781 0.097035 0.002157
1.850106 0.115689 0.003942
1.866147 0.088085 0.000841
1.883018 0.073958 0.001317
1.899539 0.111539 0.004502
1.916317 0.124624 0.002205
1.932747 0.109084 0.000141
1.949827 0.105588 0.001992
1.966182 0.136696 0.003814
1.982751 0.120511 0.000219
1.999507 0.130800 0.002735
2.016361 0.151930 0.003456
2.032779 0.157352 0.002049
2.049370 0.129642 0.000464
2.066121 0.127175 0.002575
2.083046 0.125246 0.002385
2.099394 0.116587 0.001807
2.116367 0.137743 0.004068
2.132738 0.132894 0.001462
2.149665 0.125468 0.001550
2.166137 0.114726 0.001476
2.183000 0.114921 0.002403
2.199621 0.114579 0.002189
2.216396 0.102366 0.001321
2.232780 0.135050 0.004595
2.249617 0.150442 0.002597
2.265981 0.139654 0.000944
2.283007 0.127282 0.001483
2.299402 0.105515 0.000994
2.316259 0.090675 0.001587
2.332707 0.093929 0.002695
2.349572 0.129741 0.004656
2.365990 0.125882 0.001334
2.382747 0.107612 0.000322
2.399410 0.100937 0.001725
2.416175 0.111117 0.002902
2.432710 0.112917 0.001850
2.449542 0.139661 0.003824
2.466057 0.159794 0.002929
2.482834 0.131245 0.000657
2.499364 0.108446 0.000841
2.515948 0.116204 0.003405
2.532556 0.112184 0.001836
2.549609 0.132701 0.003678
2.565970 0.147474 0.002804
2.582755 0.136714 0.000836
2.599314 0.125254 0.001357
2.615962 0.128997 0.002783
2.632600 0.139329 0.003018
2.649577 0.135143 0.001743
2.665934 0.152065 0.003536
2.682862 0.155467 0.002255
2.699491 0.131755 0.000818
2.715928 0.102620 0.000698
2.732822 0.105930 0.003223
2.749207 0.113059 0.002899
2.765953 0.100789 0.000977
2.782808 0.122126 0.003902
2.799143 0.122225 0.001497
2.816034 0.112206 0.001003
2.832506 0.103841 0.001487
2.849140 0.126021 0.003823
2.865905 0.118264 0.000960
2.882591 0.132850 0.003093
2.899178 0.141547 0.002370
2.915985 0.129840 0.001033
2.932510 0.115143 0.001075
2.949371 0.113832 0.002484
2.965794 0.114374 0.002360
2.982730 0.132645 0.003459
2.999149 0.136710 0.002002
3.015999 0.145928 0.002601
3.032524 0.116505 0.000883
3.049345 0.102456 0.001711
3.065748 0.101176 0.002441
3.082603 0.112308 0.003103
3.099155 0.108105 0.001395
3.115962 0.128917 0.003465
3.132352 0.142707 0.002538
3.149363 0.121205 0.000452
3.165913 0.125054 0.003063
3.182396 0.125562 0.002015
3.199253 0.138336 0.003536
3.215768 0.158578 0.003061
3.232645 0.157655 0.001609
3.249124 0.118240 0.001049
3.265790 0.115035 0.002837
3.282394 0.101300 0.001536
3.299005 0.067607 0.000543
3.315724 0.072312 0.003187
3.332353 0.078966 0.002338
3.349145 0.107603 0.003602
3.365749 0.101650 0.000951
3.384140 0.080161 0.000461
3.399237 0.099298 0.003084
3.416437 0.101345 0.001482
3.432477 0.120501 0.002620
3.449025 0.128448 0.001750
3.465950 0.166086 0.004241
3.483387 0.188789 0.003000
3.499182 0.131040 0.002115
3.517064 0.110029 0.002244
3.532312 0.096373 0.002292
3.548959 0.084143 0.002005
3.565575 0.089678 0.002870
3.582315 0.093738 0.002355
3.598863 0.103938 0.002325
3.615578 0.073344 0.000961
3.632334 0.073344 0.000000
3.649048 0.066367 0.004758
3.665549 0.072654 0.002204
3.682270 0.092150 0.002686
3.698932 0.104966 0.002162
3.715687 0.141100 0.003339
3.732174 0.122533 0.001320
3.749130 0.147263 0.003082
3.765731 0.152056 0.001661
3.782397 0.152441 0.001850
3.799086 0.160257 0.002794
3.816908 0.163990 0.002725
3.832321 0.139305 0.000541
3.850145 0.142073 0.003239
3.865582 0.125090 0.001542
3.882453 0.124672 0.003031
3.899072 0.120213 0.002076
3.915942 0.117878 0.002215
3.932296 0.120706 0.002547
3.948992 0.118071 0.002266
3.966406 0.116742 0.001949
3.983957 0.101935 0.001075
3.999765 0.111265 0.002642
4.017121 0.111361 0.001896
4.033272 0.145189 0.003615
4.050296 0.160852 0.002259
4.066591 0.149455 0.001191
4.083508 0.151429 0.002402
4.099723 0.138335 0.001365
4.116466 0.128470 0.001909
4.133219 0.131081 0.002870
4.150002 0.135736 0.002716
4.166478 0.125930 0.001468
4.183370 0.107645 0.001549
4.199591 0.095996 0.001699
4.216553 0.092769 0.002245
4.232921 0.084914 0.001672
4.249627 0.120328 0.003991
4.266403 0.137396 0.002422
4.283112 0.156658 0.002607
4.299587 0.156819 0.001308
4.316252 0.150151 0.001452
4.332590 0.144584 0.002099
4.349636 0.136703 0.001967
4.366007 0.132503 0.002296
4.382921 0.130505 0.002384
4.399343 0.116876 0.001351
4.416688 0.086104 0.000219
4.432592 0.070473 0.001535
4.449889 0.066632 0.002046
4.465958 0.070033 0.002070
4.484116 0.086617 0.002662
4.499267 0.096643 0.001895
4.518703 0.117623 0.002677
4.532972 0.132708 0.002382
4.550659 0.132332 0.001160
4.566472 0.127075 0.001480
4.583207 0.116915 0.001353
4.599276 0.141806 0.004095
4.617130 0.137298 0.001317
4.631957 0.119756 0.000758
4.648560 0.122014 0.002818
4.665473 0.122014 0.000000
4.682077 0.108572 0.001876
4.706001 0.100701 0.003030
4.715271 0.094923 0.002069
4.731923 0.094923 0.000000
4.748537 0.095670 0.002250
4.765932 0.098049 0.001929
4.784284 0.105874 0.003812
4.799031 0.104674 0.001499
4.815337 0.091609 0.000788
4.832251 0.109637 0.003359
4.848802 0.120273 0.002274
4.865401 0.112036 0.000863
4.882121 0.129793 0.003226
4.898789 0.126073 0.001333
4.915387 0.146288 0.003464
4.932134 0.119914 0.001085
4.948832 0.114537 0.002120
4.965411 0.109784 0.001976
4.982293 0.101973 0.001650
4.998819 0.113019 0.002986
5.015384 0.132843 0.003489
Speed: 20
0.016659 0.001632 0.000360
0.033450 0.003505 0.000365
0.050207 0.006848 0.000637
0.066594 0.009051 0.000176
0.083451 0.011637 0.000168
0.100145 0.010879 0.000536
0.116644 0.008786 0.000246
0.133289 0.054927 0.004621
0.150094 0.098881 0.002626
0.167958 0.186569 0.005822
0.183366 0.244937 0.003327
0.199957 0.301035 0.004256
0.216627 0.363876 0.005874
0.233174 0.386523 0.003732
0.250107 0.390530 0.004050
0.266553 0.399333 0.005595
0.285360 0.378386 0.003974
0.299957 0.366061 0.005578
0.316759 0.343175 0.004859
0.333207 0.309296 0.004167
0.350151 0.282500 0.004801
0.366583 0.278008 0.006092
0.383308 0.275763 0.005517
0.401135 0.254407 0.003668
0.418833 0.248509 0.004860
0.433272 0.269590 0.006490
0.450569 0.286208 0.005965
0.466872 0.310457 0.005403
0.483661 0.309091 0.004093
0.500075 0.324668 0.005295
0.515566 0.346950 0.006215
0.532127 0.351073 0.004883
0.548821 0.351073 0.000000
0.565615 0.377378 0.012943
0.582493 0.349679 0.003923
0.598705 0.349679 0.000000
0.620295 0.321275 0.010087
0.632031 0.327663 0.003768
0.648845 0.359987 0.007991
0.665373 0.352913 0.004412
0.683245 0.334656 0.004488
0.699955 0.304224 0.003403
0.716486 0.311290 0.006971
0.734167 0.333654 0.007299
0.749775 0.335982 0.005276
0.766384 0.323152 0.004492
0.783315 0.315513 0.004870
0.800607 0.307724 0.005833
0.817236 0.304122 0.005494
0.833991 0.320057 0.006515
0.852547 0.293819 0.002963
0.867248 0.312922 0.007257
0.885370 0.297086 0.003838
0.899829 0.311234 0.007338
0.915503 0.322108 0.004369
0.932071 0.318855 0.004589
0.948903 0.322751 0.005431
0.965346 0.342332 0.006605
0.982095 0.340643 0.004817
0.998692 0.342742 0.005150
1.015639 0.332540 0.004638
1.037646 0.340385 0.006385
1.048513 0.331646 0.004893
1.065488 0.343934 0.006697
1.081965 0.327095 0.004142
1.098661 0.319711 0.005391
1.115379 0.334219 0.006852
1.133362 0.322162 0.004407
1.148618 0.334243 0.006533
1.168236 0.326967 0.004761
1.183098 0.310335 0.004305
1.203078 0.308430 0.005796
1.219696 0.318882 0.006763
1.233813 0.313171 0.004743
1.249527 0.308257 0.004993
1.266167 0.288799 0.003895
1.282928 0.303336 0.006721
1.299525 0.316978 0.005950
1.316302 0.335189 0.006189
1.350768 0.336447 0.004787
1.366181 0.346790 0.010910
1.382990 0.352800 0.005783
1.401049 0.328964 0.003692
1.416131 0.330014 0.006339
1.432887 0.305057 0.003973
1.449502 0.326971 0.007703
1.466177 0.311441 0.004201
1.481899 0.295404 0.003813
1.498512 0.328921 0.008355
1.515353 0.300889 0.002866
1.531848 0.299118 0.005092
1.548564 0.305156 0.005694
1.565218 0.303055 0.004891
1.581873 0.311016 0.005800
1.598612 0.313771 0.005123
1.615543 0.295024 0.003556
1.631627 0.303503 0.006172
1.648460 0.300986 0.005245
1.665005 0.326004 0.006639
1.681654 0.341059 0.005798
1.698225 0.310818 0.002555
1.715209 0.337739 0.007791
1.731611 0.328863 0.004572
1.749113 0.330805 0.005603
1.765010 0.317520 0.004517
1.781794 0.317520 0.000000
1.798161 0.297026 0.005618
1.814950 0.302990 0.010555
1.831563 0.280170 0.003613
1.848229 0.296893 0.007196
1.864951 0.276221 0.003506
1.881714 0.280480 0.005636
1.898201 0.303256 0.006534
1.914993 0.307261 0.004833
1.931579 0.315063 0.005230
1.948538 0.325725 0.005614
1.964980 0.307654 0.003340
1.981946 0.315375 0.006359
1.998157 0.306661 0.004273
2.015742 0.323123 0.006588
2.032085 0.297297 0.003134
2.048292 0.298474 0.005474
2.064858 0.307842 0.005921
2.081481 0.302934 0.004592
2.098178 0.311200 0.005772
2.115862 0.318110 0.005491
2.132755 0.315761 0.005248
2.149365 0.334023 0.006503
2.166014 0.323423 0.004096
2.182830 0.295434 0.003402
2.199304 0.310598 0.007074
2.216028 0.318172 0.005752
2.232675 0.292227 0.003102
2.249438 0.294921 0.005831
2.265976 0.294921 0.000000
2.282601 0.295918 0.011090
2.299213 0.312035 0.006213
2.316174 0.289535 0.003040
2.332793 0.294218 0.005735
2.349402 0.304814 0.005780
2.365077 0.316527 0.005251
2.381517 0.332554 0.005924
2.400136 0.320878 0.003843
