seed 01fdaa37c4295026
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.232471 0.086231 0.003698
4.265873 0.106119 0.003462
4.299041 0.109894 0.003231
4.332427 0.123778 0.004107
4.365791 0.072271 0.002012
4.398991 0.096818 0.004012
4.432501 0.146924 0.004490
4.466025 0.113517 0.003039
4.498958 0.057535 0.002188
4.532357 0.046046 0.002525
4.565763 0.173153 0.005960
4.598984 0.097176 0.001372
4.632113 0.069913 0.003281
4.665610 0.061115 0.002448
4.698870 0.116381 0.004007
4.732285 0.113890 0.002587
4.765507 0.089761 0.003080
4.798833 0.059636 0.002146
4.832121 0.041466 0.001870
4.865493 0.112434 0.004032
4.898759 0.124069 0.002852
4.932102 0.128327 0.004118
4.965532 0.048651 0.001433
4.998883 0.052089 0.003022
5.032018 0.195208 0.006395

Speed: 20
0.033210 0.053722 0.001458
0.066691 0.029530 0.000879
0.099973 0.008461 0.000793
0.133377 0.036803 0.000984
0.166558 0.077496 0.001933
0.199932 0.171914 0.005033
0.233319 0.334027 0.009515
0.266557 0.234648 0.005118
0.299850 0.206292 0.008525
0.333276 0.232177 0.008233
0.366523 0.271097 0.008600
0.399874 0.296943 0.009379
0.433382 0.265032 0.008220
0.466645 0.225759 0.008249
0.499831 0.233070 0.008288
0.533432 0.239858 0.007929
0.566618 0.062424 0.002032
0.599995 0.057023 0.001943
0.633400 0.149574 0.006902
0.666636 0.219250 0.004001
0.699955 0.249611 0.007157
0.733358 0.166437 0.005007
0.766543 0.336108 0.012530
0.799761 0.309091 0.007443
0.833117 0.191399 0.006834
0.866497 0.213787 0.009100
0.899755 0.247353 0.007854
0.933137 0.288050 0.009077
0.966603 0.271728 0.008460
0.999752 0.182545 0.006223
1.033091 0.279969 0.010914
1.066533 0.340134 0.009840
1.099666 0.262702 0.007752
1.133121 0.239891 0.009300
1.166406 0.177722 0.006252
1.199665 0.286877 0.010622
1.232979 0.272780 0.007152
1.266347 0.229921 0.008004
1.299640 0.312041 0.010890
1.332965 0.247460 0.007074
1.366303 0.217258 0.008107
1.399571 0.252677 0.008966
1.432926 0.234202 0.007134
1.466312 0.306698 0.010494
1.499780 0.276732 0.008121
1.532927 0.227536 0.007816
1.566278 0.322004 0.011665
1.599661 0.260406 0.007010
1.632872 0.198292 0.007614
1.666225 0.305185 0.011213
1.699628 0.254320 0.006721
1.732866 0.263894 0.009656
1.766214 0.291814 0.009625
1.799575 0.233330 0.007266
1.832847 0.227231 0.008547
1.866199 0.252464 0.008495
1.899538 0.260902 0.008280
1.932790 0.292509 0.009580
1.966141 0.265688 0.008323
1.999552 0.256063 0.009003
2.032900 0.245412 0.008345
2.066264 0.217992 0.007451
2.099523 0.316235 0.010971
2.132957 0.259783 0.007058
2.166122 0.228254 0.008468
2.199492 0.241246 0.008601
2.232881 0.303332 0.009933
2.266154 0.255060 0.007440
2.299449 0.286007 0.010337
2.332820 0.227839 0.007115
2.366123 0.271731 0.010000
2.399458 0.253296 0.007715
2.432779 0.231046 0.007975
2.466229 0.242085 0.008517
2.499591 0.236424 0.007600
2.532823 0.264438 0.008850
2.566038 0.286461 0.009040
2.599359 0.249937 0.007786
2.632763 0.197541 0.007346
2.666025 0.239739 0.008839
2.699292 0.285618 0.008850
2.732689 0.276908 0.008391
2.765996 0.267457 0.009094
2.799312 0.268950 0.009037
2.832669 0.236036 0.007825
2.866075 0.265288 0.009421
2.899302 0.256878 0.008055
2.932631 0.246127 0.008345
2.966202 0.220206 0.007559
2.999301 0.306359 0.010591
3.032840 0.306907 0.008841
3.066122 0.218784 0.007319
3.099244 0.222238 0.008839
3.132642 0.270439 0.008964
3.165965 0.249783 0.007524
3.199257 0.266197 0.009245
3.232528 0.237128 0.007602
3.265944 0.258886 0.009127
3.299229 0.280297 0.008925
3.332542 0.288942 0.009274
3.365916 0.241008 0.007838
3.399156 0.245148 0.008953
3.432518 0.266715 0.008844
3.465933 0.302992 0.009763
3.499261 0.268714 0.008345
3.532530 0.197510 0.007074
3.565993 0.225998 0.008775
3.599445 0.274667 0.008649
3.632493 0.353453 0.010906
3.665874 0.282662 0.008046
3.699277 0.176147 0.007074
3.732567 0.222684 0.009096
3.765929 0.291695 0.008914
3.799363 0.313941 0.009360
3.832598 0.230705 0.007240
3.872465 0.190306 0.009517
3.899291 0.311011 0.008733
3.932592 0.344211 0.008917
3.966016 0.251778 0.007862
3.999424 0.212856 0.008607
4.032672 0.260121 0.009308
4.066013 0.237431 0.007271
4.099465 0.287166 0.010037
4.132673 0.250341 0.007348
4.165886 0.289380 0.010374
4.199319 0.225128 0.006838
4.234414 0.260768 0.010328
4.265897 0.234199 0.006927
4.304057 0.231984 0.009443
4.332564 0.289801 0.008285
4.365824 0.573415 0.018066
4.399203 0.124022 0.002223
4.432934 0.035211 0.008710
4.465748 0.250411 0.009357
4.499113 0.373889 0.008766
4.532514 0.281899 0.007241
4.565687 0.307224 0.011708
4.599047 0.243474 0.007687
4.632472 0.500106 0.017773
4.667582 0.325539 0.006701
4.699105 0.069440 0.001292
4.735248 0.042600 0.008889
4.765856 0.271243 0.007535
4.799139 0.389352 0.008513
4.832406 0.360551 0.010041
4.865690 0.171481 0.006206
4.899012 0.203622 0.009925
4.933202 0.267051 0.008522
4.965747 0.511057 0.015683
4.999006 0.098175 0.001261
5.032301 0.120888 0.010917

Speed: 30
0.033311 0.017643 0.000740
0.066674 0.028902 0.000144
0.099982 0.032491 0.000779
0.133307 0.022122 0.001013
0.166634 0.095865 0.002943
0.199922 0.276586 0.007756
0.233568 0.411123 0.010773
0.267082 0.355160 0.009690
0.300200 0.366709 0.013079
0.333420 0.388697 0.012707
0.366732 0.439931 0.014276
0.400188 0.424842 0.013438
0.433420 0.380918 0.012872
0.466682 0.365059 0.012864
0.500131 0.428311 0.014549
0.533393 0.440682 0.013674
0.566665 0.399451 0.012987
0.600103 0.368169 0.013015
0.633405 0.427602 0.014717
0.666704 0.428370 0.013293
0.700116 0.413725 0.013793
0.733322 0.421215 0.014231
0.766863 0.439932 0.014637
0.800086 0.440216 0.014348
0.833244 0.411022 0.013544
0.866611 0.418832 0.014475
0.900085 0.435665 0.014419
0.933420 0.381228 0.012443
0.966595 0.413836 0.014614
0.999999 0.401342 0.012839
1.033332 0.432871 0.014648
1.066656 0.426907 0.013664
1.099949 0.384962 0.012907
1.133338 0.410743 0.014387
1.166616 0.414287 0.013426
1.200127 0.439060 0.014609
1.233322 0.441497 0.014283
1.266477 0.407640 0.013462
1.299806 0.378510 0.013176
1.333152 0.389986 0.013504
1.366388 0.397207 0.013018
1.399766 0.401202 0.013259
1.433129 0.408980 0.013578
1.466402 0.410546 0.013528
1.499710 0.436454 0.014519
1.533111 0.447868 0.014536
1.566414 0.441750 0.014495
1.599800 0.371229 0.012497
1.632994 0.405199 0.014585
1.666482 0.375667 0.012070
1.700037 0.389054 0.013436
1.735388 0.415869 0.014489
1.766442 0.445122 0.013402
1.799685 0.424705 0.013700
1.833145 0.406192 0.013883
1.866523 0.367322 0.012582
1.899711 0.417849 0.014480
1.933095 0.459332 0.014488
1.966477 0.432534 0.013739
1.999680 0.369137 0.012683
2.033837 0.370163 0.013748
2.066459 0.439055 0.014333
2.099674 0.425013 0.012901
2.133057 0.444676 0.015086
2.166395 0.406421 0.013186
2.199629 0.443502 0.015380
