seed df4f5a51c4b639ac
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.382112 0.332432 0.005160
3.398781 0.333112 0.005899
3.415377 0.340654 0.006220
3.431953 0.335485 0.004690
3.448681 0.327328 0.004827
3.465364 0.332135 0.005935
3.481949 0.331766 0.005379
3.498661 0.335677 0.005997
3.515283 0.336340 0.005398
3.531943 0.335712 0.005413
3.548673 0.326134 0.004619
3.565293 0.327264 0.006181
3.581902 0.314446 0.004267
3.598824 0.317331 0.006566
3.615307 0.319134 0.005559
3.632124 0.324919 0.005818
3.648514 0.329564 0.005592
3.665296 0.335587 0.005687
3.681921 0.334907 0.005168
3.698508 0.332645 0.005252
3.715257 0.345999 0.006918
3.731924 0.336796 0.004147
3.748550 0.345378 0.006702
3.765337 0.341644 0.004983
3.781884 0.320465 0.003612
3.798687 0.316791 0.006480
3.815283 0.311984 0.005520
3.831893 0.323089 0.006761
3.848486 0.304475 0.002970
3.865174 0.305086 0.006137
3.881901 0.310024 0.005864
3.898495 0.300911 0.004066
3.915117 0.307604 0.006143
3.931936 0.317255 0.005841
3.948522 0.313838 0.004298
3.965137 0.326826 0.006521
3.981866 0.316459 0.003636
3.998512 0.324606 0.006473
4.015145 0.330597 0.005657
4.031876 0.330384 0.004948
4.048566 0.327684 0.005187
4.065148 0.324252 0.005199
4.081768 0.330987 0.006289
4.098485 0.329321 0.005033
4.115118 0.332668 0.005800
4.131763 0.324523 0.004661
4.148509 0.336622 0.007072
4.165111 0.329339 0.004249
4.181724 0.316040 0.004398
4.198490 0.320849 0.006706
4.215108 0.313226 0.004563
4.231725 0.306221 0.005009
4.248456 0.307036 0.005746
4.265124 0.307148 0.005345
4.281735 0.312631 0.005653
4.298409 0.309218 0.004582
4.315079 0.314518 0.005742
4.331758 0.324985 0.005995
4.348341 0.320017 0.004245
4.365098 0.322185 0.005620
4.381700 0.337481 0.006763
4.398341 0.335495 0.004540
4.415095 0.338969 0.005713
4.431703 0.338397 0.005300
