seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.048702 0.039852 0.000850
4.065611 0.161554 0.001869
4.082086 0.098303 0.001835
4.099013 0.176348 0.000851
4.115485 0.046516 0.000369
4.133967 0.063297 0.000099
4.148679 0.088107 0.000625
4.168090 0.025536 0.000724
4.182173 0.040329 0.001525
4.201197 0.057971 0.001414
4.215336 0.073869 0.000416
4.232263 0.023501 0.000430
4.248691 0.039100 0.000343
4.265466 0.074415 0.001334
4.282070 0.037537 0.001303
4.298952 0.047629 0.000357
4.317471 0.065561 0.000935
4.332064 0.071243 0.001100
4.350336 0.126922 0.001218
4.365462 0.018115 0.001202
4.382239 0.044075 0.000908
4.398667 0.034965 0.000202
4.417608 0.052930 0.000897
4.431922 0.067906 0.000900
4.450545 0.034089 0.001113
4.465328 0.011832 0.000688
4.482062 0.002722 0.000224
4.498680 0.009084 0.000204
4.515485 0.007236 0.000146
4.531964 0.058389 0.000885
4.548819 0.024378 0.000095
4.565322 0.079985 0.001193
4.582075 0.058020 0.000289
4.598651 0.008981 0.000196
4.615298 0.073829 0.000723
4.631929 0.076518 0.000620
4.648552 0.063171 0.001082
4.666299 0.041355 0.000588
4.682038 0.065124 0.001021
4.701112 0.038764 0.001510
4.715467 0.030512 0.000407
4.733675 0.009326 0.000115
4.748340 0.026189 0.000481
4.765139 0.036617 0.000436
4.781777 0.048397 0.000756
4.798442 0.086190 0.001087
4.815142 0.127145 0.001052
4.831724 0.066525 0.001096
4.848392 0.139197 0.000340
4.865016 0.023468 0.000898
4.881730 0.029744 0.001238
4.898388 0.093240 0.001211
4.916085 0.024896 0.000503
4.931781 0.071152 0.000533
4.950121 0.148958 0.001812
4.965193 0.051024 0.001374
4.984146 0.167849 0.001251
4.998411 0.114707 0.000734
5.015046 0.091159 0.000941
Speed: 10
0.016976 0.005812 0.000436
0.031420 0.047909 0.000714
0.048035 0.016414 0.000631
0.064688 0.009895 0.000332
0.081465 0.032203 0.000421
0.098217 0.018900 0.000550
0.119742 0.070746 0.000952
0.135226 0.073436 0.000799
0.148213 0.039247 0.000765
0.164807 0.033027 0.001428
0.181479 0.242739 0.003446
0.201947 0.226363 0.002060
0.215251 0.141444 0.002314
0.233073 0.056443 0.001286
0.248661 0.111553 0.002757
0.265697 0.160653 0.001995
0.281904 0.074063 0.000597
0.297814 0.117453 0.001981
0.317525 0.165965 0.003287
0.332676 0.146569 0.001416
0.348050 0.127026 0.001979
0.367024 0.092307 0.001830
0.381336 0.192523 0.003167
0.397910 0.080843 0.000517
0.419231 0.077676 0.002113
0.433962 0.155926 0.002711
0.450411 0.170883 0.002165
0.464632 0.097603 0.001492
0.486112 0.202200 0.003989
0.503437 0.099761 0.000785
0.517592 0.014283 0.000826
0.533422 0.054459 0.001579
0.549387 0.198247 0.002861
0.564750 0.175050 0.001762
0.582432 0.125449 0.002352
0.598791 0.155996 0.002649
0.617752 0.157073 0.002737
0.636542 0.066460 0.001023
0.647857 0.196957 0.003951
0.666405 0.203603 0.002268
0.684494 0.080964 0.001307
0.698791 0.052927 0.001882
0.714468 0.104583 0.002294
0.736415 0.115158 0.001238
0.749819 0.185732 0.003221
0.766026 0.112429 0.000905
0.784747 0.137279 0.002712
0.803203 0.112506 0.001713
0.814409 0.105026 0.001817
0.831052 0.118849 0.001847
0.847832 0.128849 0.002342
0.864517 0.224846 0.003370
0.883318 0.225251 0.002965
0.902412 0.051098 0.000882
0.915356 0.086636 0.003016
0.932370 0.075503 0.000647
0.947814 0.257167 0.004007
0.965257 0.199456 0.001661
0.985099 0.134746 0.002752
0.997793 0.084465 0.001829
1.014470 0.084891 0.001432
1.031041 0.095377 0.001672
1.048783 0.187975 0.002734
1.064458 0.284673 0.003920
1.081097 0.180664 0.002205
1.100097 0.058020 0.001400
1.117221 0.067625 0.002042
1.134546 0.163557 0.002557
1.148802 0.264184 0.003358
1.164328 0.270600 0.003670
1.184049 0.068942 0.001091
1.201438 0.104338 0.000267
1.217329 0.074703 0.002638
1.231103 0.234329 0.002523
1.250614 0.217638 0.002198
1.264606 0.204269 0.003725
1.281120 0.053765 0.000926
1.299586 0.030280 0.001068
1.314487 0.133444 0.002520
1.331051 0.204320 0.001927
1.347756 0.219771 0.003044
1.364317 0.183538 0.002935
1.381066 0.104113 0.002041
1.397962 0.063033 0.001547
1.414938 0.083793 0.001995
1.431058 0.226296 0.003488
1.447749 0.204134 0.002207
1.464522 0.113383 0.002138
1.481057 0.074600 0.001957
1.497974 0.068432 0.001470
1.514329 0.122779 0.002081
1.531025 0.193431 0.002788
1.547736 0.132110 0.001611
1.564496 0.144944 0.002858
1.580994 0.207119 0.003169
1.597820 0.022032 0.000193
1.614493 0.150847 0.003582
1.631312 0.244583 0.003150
1.647677 0.074913 0.000534
1.664625 0.088630 0.002684
1.681007 0.152889 0.002205
1.697864 0.191162 0.002772
1.714415 0.237563 0.003285
1.730977 0.140340 0.001838
1.747665 0.045748 0.000130
1.764637 0.110693 0.002948
1.781014 0.190382 0.002152
1.801477 0.208826 0.002640
1.814292 0.186529 0.002872
1.830909 0.136003 0.002503
1.847539 0.080623 0.001671
1.864221 0.098624 0.002071
1.880984 0.112771 0.001729
1.897660 0.159755 0.002533
1.914164 0.188914 0.002762
1.930961 0.151100 0.002300
1.949611 0.132704 0.002413
1.964189 0.045706 0.000650
1.980806 0.053737 0.001737
1.997469 0.125296 0.001820
2.014173 0.138199 0.001717
2.031112 0.224270 0.003653
2.047469 0.124166 0.001375
2.064533 0.047693 0.001482
2.080903 0.016619 0.001031
2.100678 0.149091 0.002648
2.114108 0.167418 0.001634
2.130822 0.190058 0.003105
2.147694 0.187501 0.002819
2.165610 0.095674 0.001584
2.180913 0.052676 0.001552
2.199179 0.127401 0.002310
2.214588 0.171672 0.002222
2.231470 0.231644 0.003373
2.247791 0.182652 0.002409
2.264705 0.118351 0.002463
2.283682 0.113064 0.001035
2.297902 0.022785 0.001870
2.316360 0.022785 0.000000
2.331126 0.234054 0.004847
2.347453 0.269824 0.003974
2.364060 0.174657 0.002479
2.381156 0.113252 0.001717
2.397627 0.035006 0.001628
2.414386 0.096844 0.002283
2.430967 0.113484 0.000955
2.447842 0.174791 0.002684
2.464256 0.287107 0.003968
2.481036 0.188172 0.002124
2.497555 0.093471 0.000906
2.514196 0.125895 0.003676
2.530950 0.230684 0.001962
2.547590 0.155223 0.001947
2.564222 0.207916 0.003562
2.580912 0.196691 0.002895
2.598467 0.030904 0.000513
2.615202 0.041660 0.002627
2.630760 0.190345 0.002619
2.647337 0.187564 0.001821
2.664017 0.141398 0.002620
2.680874 0.224257 0.003355
